"metacell","cell_type","age"
470,"Sox1+",5.88095238095238
471,"Sox1+",5.70689655172414
472,"Sox1+",5.7962962962963
473,"Sox1+",5.85714285714286
474,"Sox1+",5.83720930232558
475,"Sox1+",5.47368421052632
476,"Sox1+",5.81159420289855
477,"Sox1+",5.58823529411765
478,"Epiblast",4.75
479,"Epiblast",4.32432432432432
480,"Epiblast",4.26666666666667
481,"Epiblast",4.39285714285714
482,"Epiblast",4.2
483,"Epiblast",4.46666666666667
484,"Epiblast",4.64
485,"Epiblast",4.71428571428571
486,"Epiblast",4.57894736842105
487,"Epiblast",4.68965517241379
488,"Epiblast",4.38461538461539
489,"Epiblast",4.74193548387097
490,"Epiblast",4.91176470588235
491,"Epiblast",4.6875
492,"Epiblast",4.39024390243902
493,"Epiblast",4.82352941176471
494,"Epiblast",4.60714285714286
495,"Epiblast",4.5
496,"Epiblast",4.58974358974359
497,"Epiblast",4.39393939393939
498,"Epiblast",4.85714285714286
499,"Epiblast",4.83870967741936
500,"Epiblast",4.77777777777778
501,"Epiblast",4.58620689655172
502,"Epiblast",5.14285714285714
503,"Epiblast",4.56521739130435
504,"Epiblast",5
505,"Epiblast",4.95833333333333
506,"Epiblast",4.80555555555556
507,"Epiblast",4.88888888888889
508,"Epiblast",4.81818181818182
509,"Epiblast",5.03030303030303
510,"Primitive Streak",4.57142857142857
511,"Epiblast",4.51724137931035
512,"Epiblast",4.81818181818182
513,"Primitive Streak",4.70833333333333
514,"Epiblast",4.92857142857143
515,"Epiblast",5.08571428571429
516,"Epiblast",5.48571428571429
517,"Epiblast",5.03846153846154
518,"Primitive Streak",4.76923076923077
519,"Primitive Streak",4.76
520,"Primitive Streak",4.37931034482759
521,"Epiblast",4.68
522,"Epiblast",4.94117647058824
523,"Epiblast",4.28125
524,"Epiblast",4.21875
525,"Epiblast",4.5
526,"Epiblast",4.05
527,"Epiblast",5.21875
528,"Epiblast",4.5
529,"Epiblast",5.325
530,"Epiblast",4.94117647058824
531,"Epiblast",4.77551020408163
532,"Epiblast",4.48275862068966
533,"Epiblast",4.7037037037037
534,"Primitive Streak",4.55
535,"Epiblast",4.57575757575758
536,"Epiblast",4.68571428571429
537,"Epiblast",4.73170731707317
538,"Epiblast",4.40540540540541
539,"Epiblast",4.68965517241379
540,"Epiblast",4.55555555555556
541,"Epiblast",4.55555555555556
542,"Epiblast",4.09677419354839
543,"Epiblast",4.38461538461539
544,"Epiblast",4.63333333333333
545,"Epiblast",4.24137931034483
546,"Epiblast",4.48387096774194
547,"Epiblast",4.41176470588235
548,"Epiblast",4.46153846153846
549,"Epiblast",4.91666666666667
550,"Epiblast",4.875
551,"Epiblast",4.53333333333333
552,"Epiblast",4.58823529411765
553,"Epiblast",4.6
554,"Epiblast",4.67857142857143
555,"Epiblast",4.55172413793104
556,"Epiblast",4.625
557,"Epiblast",4.3
558,"Epiblast",4.18518518518519
559,"Epiblast",4.29032258064516
560,"Epiblast",4.32142857142857
561,"Epiblast",4.46666666666667
562,"Primitive Streak",4.66666666666667
563,"Epiblast",4.18918918918919
564,"Epiblast",4.36666666666667
565,"Epiblast",4.38709677419355
566,"Epiblast",2.28571428571429
567,"Epiblast",2.63265306122449
568,"Epiblast",2.69230769230769
569,"Epiblast",3.52
570,"Epiblast",3.1
571,"Dppa3+",4.16666666666667
572,"Epiblast",4.02631578947368
573,"Epiblast",3.30769230769231
574,"Epiblast",3.28571428571429
575,"Epiblast",3.52631578947368
576,"Dppa3+",4
577,"Epiblast",3.20512820512821
578,"Epiblast",3.82352941176471
579,"Epiblast",3.34375
580,"Dppa3+",3.86206896551724
581,"Epiblast",3.22916666666667
582,"Epiblast",3.27586206896552
583,"Epiblast",3.40540540540541
584,"Epiblast",3.84615384615385
585,"Epiblast",3.5
586,"Epiblast",3.21875
587,"Epiblast",3.21052631578947
588,"Epiblast",3.56818181818182
589,"Epiblast",3.6
590,"Epiblast",3.5
591,"Epiblast",3.64864864864865
592,"Epiblast",3.34375
593,"Epiblast",3.2093023255814
594,"Epiblast",3.32142857142857
595,"Epiblast",3
596,"Epiblast",2.44155844155844
597,"Epiblast",2.24242424242424
598,"Epiblast",2.80555555555556
599,"Epiblast",2.71052631578947
600,"Epiblast",3.24242424242424
601,"Epiblast",3.28125
602,"Epiblast",3.33333333333333
603,"Epiblast",4.40740740740741
604,"Epiblast",4.625
605,"Dppa3+",5.15151515151515
606,"Epiblast",4.41379310344828
607,"Epiblast",4.39285714285714
608,"Dppa3+",4.9
609,"Epiblast",4.76666666666667
610,"Epiblast",4.85714285714286
611,"Epiblast",5.22727272727273
612,"Dppa3+",5.40740740740741
613,"Dppa3+",6.12121212121212
614,"Epiblast",6.44736842105263
615,"Epiblast",5.86486486486487
616,"Dppa3+",6.56410256410256
617,"Dppa3+",5.09677419354839
618,"Dppa3+",4.38636363636364
619,"Dppa3+",4.52272727272727
620,"Dppa3+",4.40566037735849
621,"Epiblast",5.32258064516129
622,"Epiblast",5.34615384615385
623,"Epiblast",5.55263157894737
624,"Dppa3+",5.03333333333333
625,"Dppa3+",5.44827586206897
626,"Epiblast",4.59259259259259
627,"Dppa3+",5.03448275862069
628,"Epiblast",4.69767441860465
629,"Dppa3+",4.94444444444445
630,"Dppa3+",3.96
631,"Epiblast",4.4375
